# division directionality movement
3.000000000000000000e+00 2.748131409865330443e+00 2.733048189962025365e+00
1.500000000000000000e+01 4.742783333650427480e+00 1.001507929832254007e+00
6.000000000000000000e+00 4.750422934501544070e+00 2.131745334034417905e+00
4.000000000000000000e+00 7.412722893186415085e+00 1.160978442759307505e+00
3.000000000000000000e+00 4.171812350033184735e+00 3.710878098536680270e+00
1.700000000000000000e+01 2.794572955580296725e+00 4.939005953311208508e-01
8.000000000000000000e+00 6.852175848155440008e+00 1.477257310218535791e+00
1.200000000000000000e+01 1.847734648744630226e+00 1.438696860360334062e+00
4.000000000000000000e+00 3.312559370077685639e+00 2.962681305312544477e+00
2.000000000000000000e+00 6.059555071526841807e+00 9.522603147529458134e-01
1.000000000000000000e+01 2.374420807096631059e+00 8.391490391667502102e-01
5.000000000000000000e+00 5.592060924142224998e+00 1.841476992031082727e+00
2.000000000000000000e+00 9.341084998254585159e+00 8.324378514388125483e-01
1.000000000000000000e+00 6.850956219231962407e+00 1.187967073926727846e+00
3.000000000000000000e+00 3.086237021583391194e+00 2.547798085617888120e+00
3.000000000000000000e+00 5.031536023422511050e+00 7.948652678223580015e-01
7.000000000000000000e+00 2.412516091254218065e+00 1.702363104986120979e+00
3.000000000000000000e+00 3.767433875364443630e+00 3.185420086581624677e+00
4.000000000000000000e+00 3.484944602809146641e+00 2.896932188295473942e+00
5.000000000000000000e+00 3.214445071642137552e+00 1.512078358141263790e+00
3.000000000000000000e+00 3.440437682854488699e+00 3.781054390856457559e+00
5.000000000000000000e+00 4.511160870497421982e+00 2.011952267930987581e+00
5.000000000000000000e+00 3.457923172298539072e+00 1.536630943544731620e+00
3.000000000000000000e+00 7.760482882312287778e+00 6.797218559583524389e-01
5.000000000000000000e+00 3.537064329927233519e+00 8.317121967408386274e-01
1.400000000000000000e+01 2.845329545500246304e+00 9.518256563267519788e-01
7.000000000000000000e+00 2.800206639013148369e+00 1.682041102181140779e+00
8.000000000000000000e+00 5.955217297674921362e+00 1.512434257873749743e+00
4.000000000000000000e+00 3.979400350055805724e+00 8.233757486795121316e-01
5.000000000000000000e+00 3.762593870325811274e+00 1.991551888310267859e+00
4.000000000000000000e+00 3.685657284090168684e+00 1.228490018153831853e+00
5.000000000000000000e+00 4.750620217581647431e+00 1.734957652025349573e+00
4.000000000000000000e+00 5.477503479548383680e+00 1.059449188173750223e+00
5.000000000000000000e+00 2.967155807303887727e+00 2.287808810931893255e+00
2.000000000000000000e+00 4.521943799319736002e+00 1.647672312741657930e+00
0.000000000000000000e+00 1.332924293473550126e+00 5.014931167785199317e-01
3.000000000000000000e+00 5.911522901778135441e+00 4.784868481396521989e-01
3.000000000000000000e+00 5.124269189290838966e+00 3.001431775125820156e+00
0.000000000000000000e+00 5.630986025977499310e+00 5.262639537785741561e-01
3.000000000000000000e+00 5.376770894687156854e+00 4.999392209109356777e-01
1.000000000000000000e+00 2.302950333442460362e+00 1.193699446398707731e-01
1.000000000000000000e+01 2.320345583090800634e+00 1.439063484360425527e+00
5.000000000000000000e+00 2.473509710715824816e+00 2.133911404386228838e+00
8.000000000000000000e+00 3.197040847458940682e+00 2.203566107174888877e+00
4.000000000000000000e+00 4.478078953352684799e+00 1.231001149414578943e+00
2.000000000000000000e+00 7.083858091283179448e+00 4.221205620267698966e-01
4.000000000000000000e+00 3.352164761126199544e+00 1.298326830610003979e+00
3.000000000000000000e+00 8.349784572491046220e+00 5.782205650831481192e-01
3.000000000000000000e+00 2.961823690138445819e+00 1.759797218671661723e+00
4.000000000000000000e+00 3.261305062798669496e+00 2.045786674473228484e+00
3.000000000000000000e+00 5.816646875881043677e+00 4.858713027835451781e-01
4.000000000000000000e+00 4.046249391207022761e+00 1.423797598410830423e+00
4.000000000000000000e+00 3.914879426429427767e+00 9.753278048794851163e-01
4.000000000000000000e+00 2.315443088521947690e+00 2.815201962459503715e+00
