# dep octanol octanoic pentanol
3.979591836734693300e-01 3.163265306122448606e-01 6.122448979591835899e-02 2.244897959183673186e-01
4.653061224489795089e-01 1.428571428571428492e-01 5.510204081632652517e-02 3.367346938775510057e-01
5.204081632653061451e-01 1.122448979591836732e-01 5.102040816326530726e-02 3.163265306122449161e-01
4.734693877551020558e-01 1.836734693877551117e-01 5.714285714285715495e-02 2.857142857142857539e-01
5.306122448979592177e-01 0.000000000000000000e+00 6.122448979591837287e-02 4.081632653061224580e-01
4.653061224489795089e-01 1.428571428571428492e-01 5.510204081632652517e-02 3.367346938775510057e-01
6.101010101010101438e-01 2.020202020202020443e-01 7.676767676767677628e-02 1.111111111111111188e-01
3.979591836734693300e-01 3.163265306122448606e-01 6.122448979591835899e-02 2.244897959183673186e-01
4.510204081632652739e-01 9.183673469387755584e-02 8.163265306122449716e-03 4.489795918367346927e-01
3.515151515151515582e-01 3.535353535353535359e-01 1.212121212121212294e-02 2.828282828282828731e-01
4.734693877551020558e-01 1.836734693877551117e-01 5.714285714285715495e-02 2.857142857142857539e-01
3.515151515151515582e-01 3.535353535353535359e-01 1.212121212121212294e-02 2.828282828282828731e-01
5.816326530612245804e-01 1.020408163265306214e-02 8.163265306122449716e-02 3.265306122448979886e-01
3.979591836734693300e-01 3.163265306122448606e-01 6.122448979591835899e-02 2.244897959183673186e-01
8.428571428571428603e-01 2.040816326530612429e-02 1.061224489795918463e-01 3.061224489795918297e-02
5.306122448979592177e-01 0.000000000000000000e+00 6.122448979591837287e-02 4.081632653061224580e-01
8.428571428571428603e-01 2.040816326530612429e-02 1.061224489795918463e-01 3.061224489795918297e-02
3.515151515151515582e-01 3.535353535353535359e-01 1.212121212121212294e-02 2.828282828282828731e-01
5.306122448979592177e-01 0.000000000000000000e+00 6.122448979591837287e-02 4.081632653061224580e-01
5.816326530612245804e-01 1.020408163265306214e-02 8.163265306122449716e-02 3.265306122448979886e-01
3.612244897959184242e-01 9.183673469387755584e-02 6.122448979591837287e-03 5.408163265306122902e-01
3.795918367346939326e-01 1.122448979591836732e-01 2.857142857142857748e-02 4.795918367346938549e-01
4.448979591836734748e-01 2.040816326530612290e-01 1.428571428571428527e-02 3.367346938775510057e-01
3.612244897959184242e-01 9.183673469387755584e-02 6.122448979591837287e-03 5.408163265306122902e-01
3.653061224489796421e-01 7.142857142857143848e-02 3.265306122448979886e-02 5.306122448979592177e-01
2.448979591836734637e-01 2.755102040816326814e-01 1.020408163265306214e-02 4.693877551020408379e-01
3.224489795918367707e-01 3.673469387755102233e-01 3.469387755102041476e-02 2.755102040816326814e-01
5.836734693877551061e-01 1.020408163265306145e-01 1.836734693877551186e-02 2.959183673469387710e-01
2.448979591836734637e-01 2.755102040816326814e-01 1.020408163265306214e-02 4.693877551020408379e-01
5.836734693877551061e-01 1.020408163265306145e-01 1.836734693877551186e-02 2.959183673469387710e-01
4.265306122448979664e-01 9.183673469387755584e-02 3.265306122448979886e-02 4.489795918367346927e-01
5.292929292929293705e-01 7.070707070707071829e-02 6.666666666666667962e-02 3.333333333333333703e-01
5.836734693877551061e-01 1.020408163265306145e-01 1.836734693877551186e-02 2.959183673469387710e-01
3.474747474747475473e-01 1.616161616161616299e-01 1.616161616161616507e-02 4.747474747474747514e-01
3.795918367346939326e-01 1.122448979591836732e-01 2.857142857142857748e-02 4.795918367346938549e-01
3.474747474747475473e-01 1.616161616161616299e-01 1.616161616161616507e-02 4.747474747474747514e-01
3.653061224489796421e-01 7.142857142857143848e-02 3.265306122448979886e-02 5.306122448979592177e-01
5.292929292929293705e-01 7.070707070707071829e-02 6.666666666666667962e-02 3.333333333333333703e-01
4.265306122448979664e-01 9.183673469387755584e-02 3.265306122448979886e-02 4.489795918367346927e-01
3.224489795918367707e-01 3.673469387755102233e-01 3.469387755102041476e-02 2.755102040816326814e-01
4.448979591836734748e-01 2.040816326530612290e-01 1.428571428571428527e-02 3.367346938775510057e-01
3.653061224489796421e-01 7.142857142857143848e-02 3.265306122448979886e-02 5.306122448979592177e-01
3.224489795918367707e-01 3.673469387755102233e-01 3.469387755102041476e-02 2.755102040816326814e-01
3.474747474747475473e-01 1.616161616161616299e-01 1.616161616161616507e-02 4.747474747474747514e-01
3.795918367346939326e-01 1.122448979591836732e-01 2.857142857142857748e-02 4.795918367346938549e-01
5.292929292929293705e-01 7.070707070707071829e-02 6.666666666666667962e-02 3.333333333333333703e-01
4.448979591836734748e-01 2.040816326530612290e-01 1.428571428571428527e-02 3.367346938775510057e-01
3.612244897959184242e-01 9.183673469387755584e-02 6.122448979591837287e-03 5.408163265306122902e-01
4.265306122448979664e-01 9.183673469387755584e-02 3.265306122448979886e-02 4.489795918367346927e-01
2.448979591836734637e-01 2.755102040816326814e-01 1.020408163265306214e-02 4.693877551020408379e-01
