# division directionality movement
0.000000000000000000e+00 2.638421512551957893e+00 1.019364327764824690e-01
4.000000000000000000e+00 8.842526664385065516e+00 2.451828247178508835e-01
3.000000000000000000e+00 9.618166231211979778e+00 4.907282398541497614e-01
1.600000000000000000e+01 2.986725799223305167e+00 7.444162628258342851e-01
1.000000000000000000e+00 8.869456419347301335e+00 2.902879698855371782e-01
0.000000000000000000e+00 3.168547508795320322e+00 1.062357020621537557e-01
1.000000000000000000e+00 2.145627001472566242e+00 2.501115613973199370e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.928328310951510360e+00 2.536470530962613434e-01
1.000000000000000000e+00 4.580064247239400643e+00 1.873107533917015011e-01
0.000000000000000000e+00 1.800031181459691432e+00 5.773567221398660104e-02
1.000000000000000000e+00 9.972608829464073565e+00 2.151824737707535573e-01
0.000000000000000000e+00 1.092940413725765447e+00 1.343435277663166359e-02
6.000000000000000000e+00 3.700452815612767843e+00 1.172019016525642554e+00
0.000000000000000000e+00 7.903140841993307575e+00 5.573195757190803068e-01
0.000000000000000000e+00 4.442296687431869506e-02 9.365767419401222621e-03
6.000000000000000000e+00 4.355781869655226402e+00 1.015806292801373356e+00
5.000000000000000000e+00 2.245244777269356895e+00 4.552944520225731678e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 7.168323615126380943e+00 1.081464304922389041e-01
0.000000000000000000e+00 3.908893341068534699e+00 1.297441208913295563e-01
1.000000000000000000e+00 1.890472618154539708e+00 3.975993998499625232e-02
3.000000000000000000e+00 8.007237889067305048e+00 3.005603276001795887e-01
4.000000000000000000e+00 4.361617615758886402e+00 5.322260125281027404e-02
2.000000000000000000e+00 1.194128763632745027e+01 5.195178640959926541e-01
4.000000000000000000e+00 5.029016783734057583e+00 8.835279394572492784e-02
1.000000000000000000e+00 7.093609150317779388e+00 7.596629478691399040e-01
6.000000000000000000e+00 8.128291452411932738e+00 1.125362755528239861e-01
0.000000000000000000e+00 8.621155014750655710e+00 2.818095748954170809e-01
0.000000000000000000e+00 2.947733983464507990e+00 2.477893693048548729e-01
2.000000000000000000e+00 8.480317007582186539e-01 1.846067386916327296e-02
0.000000000000000000e+00 7.571219848686156162e+00 2.439725706927560467e-01
3.000000000000000000e+00 1.817329103280997060e+01 1.994469120966516351e-01
1.000000000000000000e+00 4.010739252730848747e+00 1.693472508954752265e-01
0.000000000000000000e+00 1.339604514040900307e+00 1.199468036405705873e-01
0.000000000000000000e+00 7.261270423583366274e+00 2.651237398236698239e-01
1.000000000000000000e+00 8.657393495795128402e+00 4.286054794715341565e-01
0.000000000000000000e+00 8.613792845607260995e-01 4.143258484400493685e-02
1.400000000000000000e+01 1.319599127217014889e+00 6.507071387287970410e-01
1.700000000000000000e+01 1.199531872248068121e+00 3.184121819096988326e-01
1.200000000000000000e+01 4.207414620356223267e+00 1.918276133328652988e-01
3.000000000000000000e+00 6.710593980388646962e+00 9.853662619174825554e-01
0.000000000000000000e+00 2.741225486317808713e+00 7.512270803318424339e-02
3.000000000000000000e+00 1.055108215528933258e+01 6.618140679029775875e-01
0.000000000000000000e+00 9.191947195735750142e+00 4.678067715945469773e-01
2.000000000000000000e+00 6.694353423638522926e+00 1.626541718871155062e-01
3.000000000000000000e+00 2.981696669557653223e+00 1.277125691754521786e-01
1.900000000000000000e+01 2.788470356757693835e+00 2.742545871216385822e-01
2.000000000000000000e+00 9.504249193955105923e+00 2.646693495178756184e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.736220131101829933e+00 1.100876468379471812e-01
3.000000000000000000e+00 5.715410957456859897e+00 9.335205444342797865e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 2.434325891524282692e+00 1.012939778756174886e-01
3.000000000000000000e+00 6.048235734801632013e+00 1.288168339525029293e-01
3.000000000000000000e+00 4.385355231221490513e+00 1.530819611336121933e-01
0.000000000000000000e+00 1.523759764443419762e+00 4.531812886531389611e-02
0.000000000000000000e+00 3.434433455779821287e+00 2.876065030683562784e-01
0.000000000000000000e+00 6.912161593836452234e+00 3.176255624582994819e-01
0.000000000000000000e+00 3.527448715287276659e+00 1.146619430983171484e-01
1.000000000000000000e+00 3.992759948645837054e-01 3.728394620294717132e-02
1.000000000000000000e+00 1.041647839282244803e+01 3.004270978317363228e-01
2.000000000000000000e+00 8.771551215755684083e+00 5.459424378929407240e-01
4.000000000000000000e+00 8.595124596436869879e+00 4.846532378624588411e-01
1.000000000000000000e+00 4.227087316918583859e+00 2.233853419568092302e-01
0.000000000000000000e+00 5.929442835011702329e+00 2.431424223759500458e-01
1.000000000000000000e+00 3.470054887946742550e+00 8.058112563776211046e-02
0.000000000000000000e+00 6.896007855941980402e+00 2.182468419987284303e-01
3.000000000000000000e+00 1.728058223816554939e+00 3.376549610859339023e-02
0.000000000000000000e+00 2.570141726016853312e+00 2.002962774632184584e-01
4.000000000000000000e+00 3.801380709289899240e+00 1.755401568563881021e-01
3.000000000000000000e+00 1.714534372337612567e+01 3.157773180002177438e-01
