path dep dodecane octanol pentanol division directionality movement
dodecane/0059 0.29999999999999999 0.20000000000000001 0.29999999999999999 0.20000000000000001 1.0 9.4271983707644527 0.2802689794128117
dodecane/0060 0.14285714285714285 0.14285714285714285 0.2857142857142857 0.42857142857142855 2.0 7.842339139287092 0.13196343593102547
dodecane/0061 0.0 0.14285714285714285 0.42857142857142855 0.42857142857142855 1.0 5.3016270524404989 0.32687542196135771
dodecane/0062 0.14285714285714285 0.0 0.42857142857142855 0.42857142857142855 4.0 1.3237794805837719 0.36638578403607447
dodecane/0063 0.33333333333333331 0.33333333333333331 0.0 0.33333333333333331 3.0 18.868354559293056 0.22070309966620308
dodecane/0064 0.20000000000000001 0.40000000000000002 0.20000000000000001 0.20000000000000001 0.0 3.1685181129770723 0.13498135757705768
dodecane/0065 0.29999999999999999 0.29999999999999999 0.20000000000000001 0.20000000000000001 5.0 2.8101229480706262 0.12523587263972233
dodecane/0066 0.25 0.375 0.375 0.0 2.0 5.7289087635603329 0.15487233923087509
dodecane/0067 0.0 0.0 0.5 0.5 1.0 9.0442260847199591 0.8448175117313349
dodecane/0068 0.125 0.25 0.25 0.375 1.0 7.4338336155118343 0.28241871761093967
dodecane/0069 0.0 0.40000000000000002 0.20000000000000001 0.40000000000000002 0.0 4.3164534302804798 0.10171553214047276
dodecane/0070 0.0 0.33333333333333331 0.5 0.16666666666666666 2.0 15.268303853330181 0.20072967491425867
dodecane/0071 0.0 0.0 0.75 0.25 1.0 8.8398262838800239 1.2730824813962884
dodecane/0072 0.20000000000000001 0.29999999999999999 0.29999999999999999 0.20000000000000001 1.0 0.66507295271290867 0.073302182545282285
dodecane/0073 0.16666666666666666 0.16666666666666666 0.33333333333333331 0.33333333333333331 0.0 4.0341294184863665 0.30080582361287844
dodecane/0074 0.0 0.42857142857142855 0.2857142857142857 0.2857142857142857 0.0 2.009666505145197 0.048626190358810814
dodecane/0075 0.0 0.2857142857142857 0.2857142857142857 0.42857142857142855 1.0 14.526558705408094 0.16997713215266921
dodecane/0076 0.20000000000000001 0.59999999999999998 0.0 0.20000000000000001 0.0 0.54333107568895178 0.013598674396364696
dodecane/0077 0.5 0.0 0.25 0.25 15.0 2.2594118428981118 0.45675645771101292
dodecane/0078 0.375 0.25 0.25 0.125 0.0 4.803198193915116 0.1182408817340124
dodecane/0079 0.5 0.16666666666666666 0.33333333333333331 0.0 1.0 3.5995607943445673 0.10303306605620903
dodecane/0080 0.1111111111111111 0.33333333333333331 0.33333333333333331 0.22222222222222221 1.0 2.8672341342517678 0.14378742087115923
dodecane/0081 0.33333333333333331 0.33333333333333331 0.0 0.33333333333333331 4.0 9.4851435249999678 0.19493214452947313
dodecane/0082 0.22222222222222221 0.33333333333333331 0.22222222222222221 0.22222222222222221 0.0 2.1035196700564152 0.061677377924167352
dodecane/0083 0.0 0.2857142857142857 0.42857142857142855 0.2857142857142857 2.0 11.144341799681598 0.14776388649190819
dodecane/0084 0.18181818181818182 0.27272727272727271 0.27272727272727271 0.27272727272727271 1.0 2.3019007246348129 0.12007961658624301
dodecane/0085 0.0 0.0 0.5 0.5 2.0 12.310040730181735 0.87086825257620759
dodecane/0086 0.25 0.25 0.0 0.5 3.0 10.394288642303469 0.14537396157510332
dodecane/0087 0.25 0.5 0.0 0.25 4.0 9.3570047559279637 0.15323478263167473
